County,Date,Field_ID,Sex,Size_cm,Waterway,City,Probable_Cause
Brevard,2024-07-07,MEC24092,F,111,Sykes Creek,Merritt Island,Perinatal (<= 150 cm)
Volusia,2024-07-07,MNE24044,F,120,Halifax River,Daytona Beach,Perinatal (<= 150 cm)
Hillsborough,2024-07-07,MNW24095,M,255,Old Tampa Bay,Tampa,Verified; Not Necropsied
Manatee,2024-07-07,MNW24096,M,120,Braden River,Bradenton,Perinatal (<= 150 cm)
Citrus,2024-07-07,MNW24097,U,275,Price Creek,Homosassa,Verified; Not Necropsied
Collier,2024-07-07,MSW24090,F,260,Lake Placid,Everglades City,Verified; Not Necropsied
Citrus,2024-07-09,MNW24098,F,300,Miller Creek,Crystal River,Natural: Other
Glades,2024-07-12,MSW24091,M,290,Caloosahatchee River,Moore Haven,Human Related: Flood Gate/Canal Lock
Putnam,2024-07-13,MNE24045,F,220,Crescent Lake,San Mateo,Verified; Not Necropsied
Pasco,2024-07-14,MNW24099,M,222,Pithlachascotee River,Port Richey,Human Related: Watercraft Collision
Lee,2024-07-15,MSW24092,M,128,Caloosahatchee River,Ft. Myers,Perinatal (<= 150 cm)
Brevard,2024-07-17,MEC24094,M,236,Indian River,Malabar,Human Related: Watercraft Collision
Brevard,2024-07-17,MEC24095,F,122,Sykes Creek,Merritt Island,Perinatal (<= 150 cm)
Lee,2024-07-18,MSW24093,F,289,Caloosahatchee River,Cape Coral,Natural: Other
Volusia,2024-07-20,MEC24096,F,245,Mosquito Lagoon,Oak Hill,Verified; Not Necropsied
Indian River,2024-07-20,MEC24097,F,287,Indian River,Vero Beach,Human Related: Watercraft Collision
Citrus,2024-07-20,MNW24100,F,280,Double Barrel Creek,Crystal River,Undetermined: Too Decomposed
Lake,2024-07-21,MEC24098,M,285,Haines Creek,Leesburg,Undetermined: Too Decomposed
Pinellas,2024-07-21,MNW24101,F,121,Riviera Bay,St. Petersburg,Perinatal (<= 150 cm)
Brevard,2024-07-22,MEC24099,U,320,Banana River,Merritt Island,Verified; Not Necropsied
Miami-Dade,2024-07-22,MSE24051,U,279,Biscayne Bay,Miami,Undetermined: Too Decomposed
Pinellas,2024-07-23,MNW24102,F,269,Bear Creek,St. Petersburg,Human Related: Watercraft Collision
Monroe,2024-07-24,MSE24052,M,297,Blackwater Sound,Key Largo,Natural: Other
Charlotte,2024-07-24,MSW24094,M,287,Rock Creek,Englewood,Verified; Not Necropsied
Brevard,2024-07-25,MEC24100,M,275,KSC Turning Basin,Merritt Island,Verified; Not Necropsied
Brevard,2024-07-26,MEC24101,M,142,Turkey Creek,Palm Bay,Perinatal (<= 150 cm)
Taylor,2024-07-27,MNW24103,M,345,Gulf of Mexico,Perry,Human Related: Watercraft Collision
Putnam,2024-07-28,MNE24046,M,150,St. Johns River,Satsuma,Perinatal (<= 150 cm)
Brevard,2024-07-30,MEC24102,F,129,Sykes Creek,Merritt Island,Perinatal (<= 150 cm)
Lee,2024-07-30,MSW24095,M,322,Imperial River,Bonita Springs,Verified; Not Necropsied
Citrus,2024-07-31,MNW24104,F,213,Kings Bay,Crystal River,Human Related: Watercraft Collision
Lee,2024-07-31,MSW24096,F,300,Matlacha Pass,Merwin Key,Verified; Not Necropsied
Sarasota,2024-07-31,MSW24097,M,219,Lemon Bay,Englewood,Human Related: Watercraft Collision
Monroe,2024-08-01,MSE24053,F,308,Florida Bay,Marathon,Natural: Other
Martin,2024-08-02,MSE24054,M,129,Manatee Pocket,Stuart,Perinatal (<= 150 cm)
Pinellas,2024-08-03,MNW24105,F,369,Boca Ciega Bay,South Pasadena,Human Related: Watercraft Collision
Volusia,2024-08-04,MNE24047,F,316,Indian River North,New Smyrna Beach,Verified; Not Necropsied
Manatee,2024-08-05,MNW24106,M,325,Sarasota Bay,Sarasota,Human Related: Watercraft Collision
Pinellas,2024-08-05,MNW24107,F,303,St. Joseph Sound,Belleair Beach,Human Related: Watercraft Collision
Manatee,2024-08-06,SWFTm2440,F,290,Manatee River,Palmetto,Natural: Other
Volusia,2024-08-09,MNE24048,M,329,Strickland Creek,Ormond Beach,Natural: Other
Miami-Dade,2024-08-09,MSE24055,F,345,Coral Gables Waterway,Coral Gables,Undetermined: Too Decomposed
Lee,2024-08-10,MSW24098,M,238,Matlacha Pass,St. James City,Human Related: Watercraft Collision
Charlotte,2024-08-10,MSW24099,M,255,Alligator Creek,Punta Gorda,Verified; Not Necropsied
Brevard,2024-08-13,MEC24103,M,128,Indian River,Melbourne Beach,Perinatal (<= 150 cm)
Lee,2024-08-13,MSW24100,F,293,San Carlos Bay,St. James City,Undetermined: Too Decomposed
Brevard,2024-08-14,MEC24104,F,120,Sykes Creek,Merritt Island,Perinatal (<= 150 cm)
Brevard,2024-08-15,MEC24105,F,290,Turkey Creek,Palm Bay,Undetermined: Other
Brevard,2024-08-15,MEC24106,F,294,Indian River,Cocoa,Verified; Not Necropsied
Martin,2024-08-15,MSE24056,M,275,St. Lucie River,Stuart,Human Related: Flood Gate/Canal Lock
Indian River,2024-08-16,MEC24107,F,305,Indian River,Sebastian,Verified; Not Necropsied
Lee,2024-08-16,MSW24101,F,302,Pelican Pass,Cayo Costa,Verified; Not Necropsied
Hernando,2024-08-17,MNW24108,M,319,Gulf of Mexico,Hernando Beach,Human Related: Watercraft Collision
Brevard,2024-08-18,MEC24108,M,340,Banana River,Merritt Island,Undetermined: Too Decomposed
Lee,2024-08-18,MSW24102,U,150,San Carlos Bay,Ft. Myers,Perinatal (<= 150 cm)
Palm Beach,2024-08-19,MSE24057,M,121,Indian River,Jupiter,Human Related: Watercraft Collision
Brevard,2024-08-20,MEC24109,F,307,Indian River,Mims,Human Related: Watercraft Collision
Volusia,2024-08-23,MEC24110,F,300,Indian River North,Edgewater,Verified; Not Necropsied
Brevard,2024-08-24,MEC24111,M,97,Grand Canal,Satellite Beach,Perinatal (<= 150 cm)
Seminole,2024-08-25,MEC24113,U,215,Econlockhatchee River,Geneva,Verified; Not Necropsied
Lee,2024-08-25,MSW24103,F,311,Hurricane Bay,Ft. Myers Beach,Verified; Not Necropsied
Brevard,2024-08-27,MEC24112,M,309,Banana River,Merritt Island,Undetermined: Too Decomposed
Brevard,2024-08-30,MEC24114,M,150,Banana River,Merritt Island,Perinatal (<= 150 cm)
St. Lucie,2024-09-03,MSE24058,M,275,Indian River,Ft. Pierce,Verified; Not Necropsied
Lee,2024-09-03,MSW24104,M,149,Caloosahatchee River,Cape Coral,Perinatal (<= 150 cm)
Brevard,2024-09-04,SWFTm2443,M,289,Indian River,Titusville,Human Related: Watercraft Collision
Volusia,2024-09-05,MEC24115,F,345,Indian River North,Oak Hill,Human Related: Watercraft Collision
Brevard,2024-09-08,MEC24116,U,166,Indian River,Titusville,Undetermined: Too Decomposed
Volusia,2024-09-08,MNE24026,F,348,St. Johns River,Astor,Undetermined: Too Decomposed
Lee,2024-09-08,MSW24105,F,343,San Carlos Bay,St. James City,Human Related: Watercraft Collision
Volusia,2024-09-09,MEC24117,U,210,Indian River North,Oak Hill,Verified; Not Necropsied
Manatee,2024-09-09,MNW24109,M,150,Palma Sola Bay,Bradenton,Perinatal (<= 150 cm)
Charlotte,2024-09-09,MSW24106,U,245,Lemon Bay,Englewood,Verified; Not Necropsied
Lee,2024-09-09,MSW24107,U,295,San Carlos Bay,Ft. Myers,Verified; Not Necropsied
Brevard,2024-09-13,MEC24118,F,320,Banana River,Cape Canaveral,Natural: Other
Lee,2024-09-15,MSW24108,F,237,Matlacha Pass,Matlacha,Verified; Not Necropsied
Miami-Dade,2024-09-16,MSE24059,M,145,C-9 Canal,Miami Gardens,Perinatal (<= 150 cm)
Brevard,2024-09-18,MEC24119,U,120,Banana River,Cocoa Beach,Perinatal (<= 150 cm)
Marion,2024-09-18,MNE24049,M,130,Salt Run,Salt Springs,Perinatal (<= 150 cm)
Brevard,2024-09-19,MEC24121,M,299,Port Canaveral,Cape Canaveral,Human Related: Flood Gate/Canal Lock
Brevard,2024-09-19,MEC24122,M,289,Port Canaveral,Cape Canaveral,Human Related: Flood Gate/Canal Lock
Brevard,2024-09-19,MEC24123,M,311,Port Canaveral,Cape Canaveral,Human Related: Flood Gate/Canal Lock
Pinellas,2024-09-20,LPZ103707,F,259,Mullet Key Bayou,St. Petersburg,Human Related: Watercraft Collision
Volusia,2024-09-20,MEC24120,F,330,Mosquito Lagoon,Oak Hill,Verified; Not Necropsied
Sarasota,2024-09-20,MSW24109,F,278,Lemon Bay,Manasota Key,Human Related: Watercraft Collision
Sarasota,2024-09-20,MSW24110,F,251,Lemon Bay,Englewood,Human Related: Watercraft Collision
Brevard,2024-09-21,MEC24124,M,130,Horse Creek,Melbourne,Perinatal (<= 150 cm)
Lee,2024-09-21,MSW24111,M,299,Pine Island Sound,Park Island,Human Related: Watercraft Collision
Brevard,2024-09-22,MEC24125,F,340,Port Canaveral,Cape Canaveral,Human Related: Flood Gate/Canal Lock
Lake,2024-09-22,MEC24126,M,250,Lake Griffin,Lady Lake,Verified; Not Necropsied
Brevard,2024-09-23,MEC24127,U,115,Sykes Creek,Merritt Island,Perinatal (<= 150 cm)
Hernando,2024-09-25,MNW24110,M,250,Mud River,Spring Hill,Human Related: Watercraft Collision
Charlotte,2024-10-01,LPZ102374,M,303,Charlotte Harbor,Punta Gorda,Human Related: Watercraft Collision
Brevard,2024-10-01,MEC24128,M,136,Sykes Creek,Merritt Island,Perinatal (<= 150 cm)
Duval,2024-10-01,MNE24050,M,272,Julington Creek,Jacksonville,Human Related: Watercraft Collision
Lee,2024-10-01,MSW24112,F,133,Caloosahatchee River,Ft. Myers,Perinatal (<= 150 cm)
Brevard,2024-10-10,MEC24129,F,332,Sykes Creek,Merritt Island,Verified; Not Necropsied
Lee,2024-10-10,MSW24113,F,276,Caloosahatchee River,Ft. Myers,Human Related: Watercraft Collision
Charlotte,2024-10-10,MSW24114,M,205,Peace River,Punta Gorda,Verified; Not Necropsied
Volusia,2024-10-12,MNE24051,F,149,Tomoka River,Ormond Beach,Perinatal (<= 150 cm)
Taylor,2024-10-13,MNW24111,F,310,Hickery Mound Impoundment,Perry,Verified; Not Necropsied
Pinellas,2024-10-14,MNW24112,M,285,Boca Ciega Bay,Madeira Beach,Undetermined: Too Decomposed
Marion,2024-10-15,MNE24052,M,280,Ocklawaha River,Ocklawaha,Human Related: Flood Gate/Canal Lock
Martin,2024-10-17,MSE24060,M,275,St. Lucie Canal,Port Mayaca,Human Related: Flood Gate/Canal Lock
Volusia,2024-10-18,MEC24130,M,125,Lake Monroe,Deltona,Perinatal (<= 150 cm)
Citrus,2024-10-19,MNW24113,M,243,Kings Bay,Crystal River,Natural: Other
Marion,2024-10-20,MNE24053,F,234,Ocklawaha River,Ocklawaha,Human Related: Flood Gate/Canal Lock
Glades,2024-10-23,MSW24115,M,284,Caloosahatchee River,Moore Haven,Human Related: Flood Gate/Canal Lock
Manatee,2024-10-24,MNW24114,F,215,Tampa Bay,Holmes Beach,Human Related: Watercraft Collision
Sarasota,2024-10-26,MSW24116,F,161,Roberts Bay,Siesta Key,Undetermined: Too Decomposed
Indian River,2024-10-28,MEC24131,F,258,Indian River,Vero Beach,Undetermined: Too Decomposed
Martin,2024-10-28,MSE24061,F,259,Indian River,Stuart,Human Related: Watercraft Collision
Wakulla,2024-10-29,MNW24115,F,328,Apalachee Bay,St. Marks,Human Related: Watercraft Collision
Hillsborough,2024-10-30,MNW24116,F,269,Tampa Bay,Ruskin,Verified; Not Necropsied
Brevard,2024-11-02,MEC24132,F,256,Banana River,Merritt Island,Verified; Not Necropsied
Marion,2024-11-02,MNE24054,M,207,Silver River,Silver Springs,Undetermined: Too Decomposed
Lee,2024-11-02,MSW24117,M,187,Matlacha Pass,Cape Coral,Human Related: Watercraft Collision
Lee,2024-11-03,MSW24118,F,288,Caloosahatchee River,Ft. Myers,Verified; Not Necropsied
Lee,2024-11-04,MSW24119,F,199,San Carlos Bay,St. James City,Human Related: Watercraft Collision
Brevard,2024-11-06,MEC24133,F,281,Indian River,Sebastian,Verified; Not Necropsied
Palm Beach,2024-11-08,MSE24062,F,147,Lake Worth Lagoon,West Palm Beach,Perinatal (<= 150 cm)
Glades,2024-11-12,MSW24120,F,313,Rim Canal,Moore Haven,Verified; Not Necropsied
Volusia,2024-11-15,MEC24134,M,143,Indian River North,Oak Hill,Perinatal (<= 150 cm)
Brevard,2024-11-17,MEC24135,F,290,Sykes Creek,Merritt Island,Human Related: Watercraft Collision
Volusia,2024-11-17,MEC24136,F,312,Indian River North,Edgewater,Verified; Not Necropsied
Manatee,2024-11-17,MNW24117,F,294,Manatee River,Bradenton,Human Related: Watercraft Collision
Martin,2024-11-17,MSE24063,M,243,Manatee Pocket,Stuart,Verified; Not Necropsied
Lee,2024-11-17,MSW24121,F,160,Matlacha Pass,Cape Coral,Natural: Other
Brevard,2024-11-18,MEC24137,M,329,Indian River,Cocoa,Undetermined: Too Decomposed
Sarasota,2024-11-18,MSW24088,F,285,Roberts Bay,Siesta Key,Natural: Other
Miami-Dade,2024-11-22,MSE24064,M,209,Coral Gables Waterway,Coral Gables,Human Related: Watercraft Collision
Pinellas,2024-11-23,MNW24118,M,252,Allens Creek,Largo,Natural: Other
Monroe,2024-11-23,MSE24065,M,263,Garden Cove,Key Largo,Natural: Other
Hillsborough,2024-11-24,MNW24119,U,250,Garrison Channel,Tampa,Human Related: Watercraft Collision
Lee,2024-11-25,MSW24122,M,200,Caloosahatchee River,Cape Coral,Natural: Other
Indian River,2024-11-26,MEC24138,M,297,Atlantic Ocean,Sebastian,Human Related: Watercraft Collision
Manatee,2024-11-26,MNW24120,M,240,Anna Maria Sound,Bradenton,Verified; Not Necropsied
Manatee,2024-11-27,MNW24121,M,240,Palma Sola Bay,Bradenton,Verified; Not Necropsied
Charlotte,2024-11-27,MSW24123,F,300,Catfish Creek,Placida,Verified; Not Necropsied
Sarasota,2024-11-28,MSW24124,M,260,Roberts Bay,Venice,Human Related: Watercraft Collision
Citrus,2024-11-29,MNW24122,M,200,Homosassa River,Homosassa,Verified; Not Necropsied
Martin,2024-11-29,MSE24066,M,192,Willoughby Creek,Stuart,Natural: Other
Brevard,2024-11-30,MEC24139,F,155,Sykes Creek,Merritt Island,Verified; Not Necropsied
Pinellas,2024-11-30,MNW24123,M,342,Smacks Bayou,St. Petersburg,Verified; Not Necropsied
Sarasota,2024-11-30,MSW24125,F,238,Cranes Bayou,Longboat Key,Verified; Not Necropsied
Okaloosa,2024-12-02,MNW24124,M,266,Choctawhatchee Bay,Okaloosa Island,Natural: Cold Stress
Lee,2024-12-02,MSW24126,M,305,Caloosahatchee River,Alva,Human Related: Watercraft Collision
Manatee,2024-12-03,MNW24125,F,232,Tampa Bay,Anna Marina Island,Natural: Other
Charlotte,2024-12-03,MSW24127,F,267,Placida Harbor,Placida,Human Related: Watercraft Collision
Pinellas,2024-12-04,MNW24127,M,232,Bayou Grande,St. Petersburg,Verified; Not Necropsied
Collier,2024-12-04,MSW24128,M,165,Faka Union Canal,Naples,Verified; Not Necropsied
Brevard,2024-12-05,MEC24140,M,245,Horse Creek,Melbourne,Human Related: Other
Brevard,2024-12-06,MEC24141,F,260,Berkeley Canal,Satellite Beach,Natural: Other
Broward,2024-12-07,MSE24067,F,313,FPL Cooling Lakes,Dania Beach,Undetermined: Too Decomposed
Brevard,2024-12-08,MEC24142,M,280,Banana River,Cocoa Beach,Human Related: Watercraft Collision
Manatee,2024-12-09,MNW24126,M,180,Braden River,Bradenton,Verified; Not Necropsied
Collier,2024-12-09,MSW24129,U,260,East River,Everglades City,Verified; Not Necropsied
Brevard,2024-12-09,SWFTm2457,M,105,Grand Canal,Satellite Beach,Perinatal (<= 150 cm)
Brevard,2024-12-10,MEC24143,U,315,Indian River,Titusville,Verified; Not Necropsied
Brevard,2024-12-10,MEC24144,F,132,Indian River,Port St. John,Perinatal (<= 150 cm)
Brevard,2024-12-10,MEC24145,M,134,Sykes Creek,Merritt Island,Perinatal (<= 150 cm)
Monroe,2024-12-10,MSE24068,M,284,Florida Bay,Marathon,Verified; Not Necropsied
Lee,2024-12-13,MSW24130,M,309,Caloosahatchee River,Ft. Myers,Undetermined: Other
Brevard,2024-12-14,MEC24146,M,136,Banana River,Merritt Island,Perinatal (<= 150 cm)
Brevard,2024-12-15,MEC24147,M,167,Indian River,Port St. John,Natural: Other
Lee,2024-12-15,MSW24131,F,278,Ten Mile Canal,Ft. Myers,Verified; Not Necropsied
Charlotte,2024-12-15,MSW24132,F,294,Lemon Bay,Englewood,Undetermined: Too Decomposed
Citrus,2024-12-18,MNW24128,F,318,Kings Bay,Crystal River,Natural: Other
Citrus,2024-12-18,MNW24129,F,222,Homosassa River,Homosassa,Natural: Other
Citrus,2024-12-19,MNW24130,U,200,Crystal Bay,Crystal River,Perinatal (<= 150 cm)
Dixie,2024-12-20,MNW24131,F,270,Gulf of Mexico,Horseshoe Beach,Natural: Other
Sarasota,2024-12-20,MSW24133,M,190,Intracoastal Waterway,Venice,Natural: Other
Duval,2024-12-21,MNE24055,F,266,Ortega River,Jacksonville,Natural: Cold Stress
Manatee,2024-12-21,SWFTm2463,F,178,Manatee River,Palmetto,Verified; Not Necropsied
Charlotte,2024-12-22,LPZ103706,M,155,Lemon Bay,Englewood,Natural: Other
Duval,2024-12-22,MNE24056,M,225,Goodbys Creek,Jacksonville,Natural: Cold Stress
Wakulla,2024-12-22,MNW24132,M,300,St. Marks River,Crawfordville,Verified; Not Necropsied
Duval,2024-12-25,MNE24058,U,290,Nassau Sound,Jacksonville,Verified; Not Necropsied
Hernando,2024-12-25,MNW24133,F,350,Weeki Wachee River,Spring Hill,Verified; Not Necropsied
Duval,2024-12-26,MNE24057,M,265,St. Johns River,Jacksonville,Natural: Cold Stress
Okeechobee,2024-12-26,MSE24069,F,196,Taylor Creek,Okeechobee,Human Related: Watercraft Collision
Manatee,2024-12-27,MNW24134,M,293,Manatee River,Bradenton,Human Related: Watercraft Collision
Citrus,2024-12-27,MNW24135,U,150,Crystal Bay,Ozello,Perinatal (<= 150 cm)
Collier,2024-12-27,MSW24134,F,241,Faka Union Canal,Naples,Human Related: Other
Manatee,2024-12-28,MNW24136,U,120,Critical Bayou,Terra Ceia,Perinatal (<= 150 cm)
Lee,2024-12-28,MSW24135,M,210,Tenmile Canal,Ft. Myers,Natural: Other
Citrus,2024-12-29,MNW24137,U,245,Chassahowitzka River,Sugarmill Woods,Verified; Not Necropsied
Brevard,2024-12-30,MEC24148,M,149,Eau Gallie River,Melbourne,Perinatal (<= 150 cm)
Franklin,2024-12-30,MNW24139,M,320,Alligator Harbor,Alligator Point,Verified; Not Necropsied
Pinellas,2024-12-31,MNW24138,M,100,Tampa Bay,St. Petersburg,Perinatal (<= 150 cm)
