County,Date,Field_ID,Sex,Size_cm,Waterway,City,Probable_Cause
Broward,2024-03-27,MSE24025,M,119,North Fork New River,Ft. Lauderdale,Perinatal (<= 150 cm)
Sarasota,2024-03-27,MSW24048,M,115,Rock Creek,Englewood,Perinatal (<= 150 cm)
Volusia,2024-03-28,MEC24036,M,250,Mosquito Lagoon,Oak Hill,Human Related: Watercraft Collision
Hillsborough,2024-03-28,MNW24052,U,150,Rocky Creek,Tampa,Perinatal (<= 150 cm)
Marion,2024-03-29,MNE24009,F,372,Ocklawaha River,Ft. McCoy,Undetermined: Too Decomposed
Volusia,2024-03-30,MEC24037,M,134,Indian River North,Edgewater,Perinatal (<= 150 cm)
Broward,2024-03-30,MSE24026,M,140,Middle River,Wilton Manors,Perinatal (<= 150 cm)
Lee,2024-03-30,MSW24050,F,130,San Carlos Bay,Sanibel,Perinatal (<= 150 cm)
Pinellas,2024-03-31,MNW24053,F,123,Boca Ciega Bay,Gulfport,Perinatal (<= 150 cm)
Lee,2024-04-01,MSW24051,M,118,Caloosahatchee River,Cape Coral,Perinatal (<= 150 cm)
Lee,2024-04-01,MSW24052,U,250,Hancock Creek,North Ft. Myers,Verified; Not Necropsied
Citrus,2024-04-02,MNW24054,M,313,Crystal River,Crystal River,Natural: Other
Brevard,2024-04-03,MEC24038,F,143,Banana River,Merritt Island,Perinatal (<= 150 cm)
Brevard,2024-04-03,MEC24039,F,291,Banana River,Merritt Island,Natural: Other
Brevard,2024-04-05,MEC24040,M,112,Banana River,Cocoa Beach,Perinatal (<= 150 cm)
Volusia,2024-04-05,MNE24010,M,300,St. Johns River,Pierson,Undetermined: Too Decomposed
Escambia,2024-04-05,MNW24055,U,200,Perdido Bay,Pensacola,Verified; Not Necropsied
Franklin,2024-04-06,MNW24056,F,325,Little Saint Marks River,Apalachicola,Verified; Not Necropsied
Lee,2024-04-06,MSW24053,M,211,Orange River,Ft. Myers,Verified; Not Necropsied
Lee,2024-04-06,MSW24054,M,100,Hurricane Bay,Ft. Myers Beach,Perinatal (<= 150 cm)
Brevard,2024-04-10,MEC24041,M,303,Eau Gallie River,Melbourne,Undetermined: Other
Lee,2024-04-10,MSW24055,F,340,Hancock Creek,North Ft. Myers,Human Related: Watercraft Collision
Brevard,2024-04-11,MEC24042,M,129,Turkey Creek,Palm Bay,Perinatal (<= 150 cm)
Volusia,2024-04-11,MNE24011,M,105,Strickland Creek,Ormond Beach,Perinatal (<= 150 cm)
Hillsborough,2024-04-11,MNW24057,M,100,Channel A,Tampa,Perinatal (<= 150 cm)
Volusia,2024-04-12,MEC24043,M,288,Indian River North,Edgewater,Human Related: Watercraft Collision
Sarasota,2024-04-12,MSW240560,F,305,Myakka River,Venice,Verified; Not Necropsied
Citrus,2024-04-13,MNW24058,U,215,Gulf of Mexico,Crystal River,Verified; Not Necropsied
Martin,2024-04-14,MSE24027,M,187,Indian River,Swealls Point,Human Related: Watercraft Collision
Volusia,2024-04-15,MNE24012,F,121,Halifax River,Daytona Beach,Perinatal (<= 150 cm)
Manatee,2024-04-15,MNW24059,F,205,Palma Sola Bay,Bradenton,Verified; Not Necropsied
Hillsborough,2024-04-15,MNW24060,M,251,Alafia River,Riverview,Human Related: Watercraft Collision
Miami-Dade,2024-04-15,MSE24028,U,300,Miami River,Miami,Verified; Not Necropsied
Lee,2024-04-15,MSW24057,U,200,Gasparilla Sound,Cape Haze,Verified; Not Necropsied
Brevard,2024-04-16,MEC24044,F,126,Banana River,Cocoa Beach,Perinatal (<= 150 cm)
